,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
0,001-1,Gears,Gift Set,Normal,Vintage,Samsonite,Basic Set,1965,View tags »,43,$4.95,"
New: ~CA$102
Used: ~CA$34
",11.5c,5 - 12,Box,39.5 x 20.3 x 5.1 cm (15.6 x 8 x 2 in),Retail,USA/Canada only. Came in full colored box and plain brown mailer box.Included in 005-2 ,Not yet rated,,,,,,
1,0011-2,Town Minifigures,,Normal,Modern day,Town,Accessories,1979,View tags »ConstructionMinifigure PackPolice ,3,$4.49,"
New: 
Used: ~CA$6
",149.7c,,Blister pack,,Retail - limited,,Not yet rated,3,,,,,
2,0011-3,2 For 1 Bonus Offer,,Collection,Historical,Castle,Bonus/Value Pack,1987,View tags »Black FalconsCrusaders ,151,$1.50,"
New: 
Used:
 ",1.0c,,Box,,Retail - limited,Contains 6016-1 6041-1 ,Not yet rated,,,,,,
3,0012-1,Space minifigures,,Normal,Action/Adventure,Space,,1979,View tags »Classic SpaceMinifigure Pack ,4,,"
New: 
Used:
",,,,,,, 1 Review,2,,,,,
4,0013-1,Space minifigures,,Normal,Action/Adventure,Space,,1979,View tags »Classic SpaceMinifigure Pack ,4,,"
New: 
Used:
",,,,,,,Not yet rated,2,,,,,
5,0014-1,Space minifigures,,Normal,Action/Adventure,Space,,1979,View tags »Classic SpaceMinifigure Pack ,4,,"
New: 
Used:
",,,,,,,Not yet rated,2,,,,,
6,0015-1,Space Mini-Figures,,Normal,Action/Adventure,Space,,1979,View tags »,18,,"
New: 
Used:
",,,,,,,Not yet rated,3,,,,,
7,0016-1,Castle Minifigures,,Normal,Historical,Castle,,1979,View tags »Classic KnightsMinifigure Pack ,6,,"
New: 
Used: ~CA$49
",,,,,,, 2 Reviews,3,,,,,
8,002-1,4.5V Samsonite Gears Motor Set,,Normal,Vintage,Samsonite,Basic Set,1965,View tags »,3,$4.95,"
New: 
Used: ~CA$103
",165.0c,6 - 12,Box,20.3 x 10.2 x 5.1 cm (8 x 4 x 2 in),,USA/Canada only. Came in full colored box and plain brown mailer box.,Not yet rated,,0.24Kg (0.54 lb),,,,
9,003-1,Master Mechanic Set,,Normal,Vintage,Samsonite,Basic Set,1966,View tags »,418,$17.95,"
New: 
Used:
",4.3c,6 - 12,Box,49.5 x 10.2 x 20.3 cm (19.5 x 4 x 8 in),Retail,USA/Canada only. Came in full colored box and plain brown mailer box.,Not yet rated,,,,,,
10,005-1,Basic Building Set in Cardboard,,Normal,Basic,System,Basic Set,1965,View tags »,,,"
New: 
Used: ~CA$49
",,,,,,,Not yet rated,,,,,,
11,005-2,Discovery Set,,Collection,Vintage,Samsonite,Basic Set,1967,View tags »,328,$9.95,"
New: 
Used: ~CA$108
",3.0c,,Box,39.4 x 20.3 x 10.2 cm (15.5 x 8 x 4 in),Retail - limited,USA only. FAO Schwarz exclusive. Contains 001 and 285.Contains 001-1 285-1 ,Not yet rated,,2.26Kg (4.98 lb),,,,
12,010-1,Basic Building Set in Cardboard,,Normal,Basic,System,Basic Set,1965,View tags »,57,,"
New: 
Used: ~CA$47
",,,Box,10 x 20 x 5 cm (3.9 x 7.9 x 2 in),Retail,,Not yet rated,,,,,,
13,010-3,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »BoatLighthouse ,78,,"
New: 
Used: ~CA$21
",,,,,,,Not yet rated,,,,,,
14,011-1,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »BoatHouse ,146,,"
New: ~CA$127
Used: ~CA$30
",,,,,,,Not yet rated,,,,,,
15,021-1,Wheel Set,,Normal,Vintage,Samsonite,Basic Set,1966,View tags »,185,$4.95,"
New: 
Used: ~CA$60
",2.7c,4 - 10,Box,30 x 5.1 x 20 cm (11.8 x 2 x 7.9 in),Retail,USA/Canada only.,Not yet rated,,,,,,
16,022-1,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »BoatHouseLighthouse ,110,,"
New: 
Used: ~CA$23
",,,,,,,Not yet rated,,,,,,
17,028-1,Nursery Furniture,Nursery Furniture,Normal,Pre-school,Duplo,,1979,View tags »,2,,"
New: 
Used: ~CA$15
",,,,,,,Not yet rated,2,,,,,
18,030-2,Building Set,,Normal,Pre-school,Duplo,,1973,View tags »,29,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
19,032-1,Living Room Furniture,Living Room Furniture,Normal,Pre-school,Duplo,,1979,View tags »,14,,"
New: 
Used: ~CA$20
",,,,,,Same as 2630-1 ,Not yet rated,3,,,,,
20,033-1,Farm Animals,Farm Animals,Normal,Pre-school,Duplo,,1979,View tags »,21,,"
New: 
Used:
",,,,,,, 1 Review,1,,,,,
21,033-2,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »House ,182,,"
New: 
Used: ~CA$35
",,,,,,,Not yet rated,,,,,,
22,041-1,Pre-School Beginners Set,,Normal,Vintage,Samsonite,Jumbo Bricks,1964,View tags »,24,$4.95,"
New: 
Used:
",20.6c,,Box,40.6 x 3.2 x 30.5 cm (16 x 1.2 x 12 in),,,Not yet rated,,0.93Kg (2.05 lb),,,,
23,041-2,Play-Box,,Normal,Pre-school,Duplo,,1979,View tags »,4,,"
New: ~CA$74
Used:
",,,,,,Same as 2643-2 ,Not yet rated,,,,,,
24,042-1,Jumbo Brick Pull Toy,,Normal,Vintage,Samsonite,Jumbo Bricks,1966,View tags »,6,$3.50,"
New: 
Used:
",58.3c,1 - 4,Box,,Retail,US version of 501-3 ,Not yet rated,,,,,,
25,044-1,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »HouseTruck ,234,,"
New: ~CA$209
Used: ~CA$22
",,,,,,,Not yet rated,,,,,,
