set_num,Retail,Value,Growth,Annual growth,Available at,Not yet
001-1,C$6.68,C$93.78,1303.4%,4.9%,,
0011-2,C$6.06,C$78.65,1197.6%,6.5%,,
0011-3,C$10.13,C$828.62,8083.9%,14.3%,,
0012-1,C$2.69,C$387.68,14330.7%,12.6%,,
0013-1,C$2.69,C$344.33,12717.1%,12.3%,,
0014-1,C$2.69,C$371.33,13722.1%,12.5%,,
0015-1,C$4.04,C$441.19,10830.1%,11.8%,,
0016-1,C$4.04,,,,,
002-1,C$6.68,"C$1,982.47",29566.5%,,,
003-1,C$24.23,"C$1,945.20",7927.2%,,,
005-1,,C$249.97,,,,
005-2,C$13.49,C$999.62,7312.0%,,,
010-1,,,,,,
010-3,,,,,,
011-1,,C$190.62,,,,
021-1,C$6.68,"C$1,790.85",26699.0%,,,
022-1,,,,,,
0241187567-1,C$26.99,C$26.46,,,,
0241357594-1,C$26.99,,,,retail,
0241401208-1,C$25.64,,,,retail,
028-1,,C$60.17,,,,
030-2,,,,,,
032-1,C$17.89,C$44.69,149.8%,2.3%,,
033-1,,,,,,
033-2,,,,,,
041-1,C$6.68,"C$1,468.00",21867.9%,10.1%,,
041-2,,C$150.50,,,,
042-1,C$4.71,"C$1,262.64",26699.0%,,,
044-1,,,,,,
044-2,C$6.68,"C$1,320.13",19655.0%,,,
045-1,,C$316.31,,,,
045-2,,,,,,
050-2,,,,,,
051-1,C$1.35,C$361.79,26699.0%,,,
052-1,C$1.35,C$361.79,26699.0%,,,
053-1,C$1.35,C$361.79,26699.0%,,,
054-1,,,,,,
055-1,C$1.35,C$361.79,26699.0%,,,
055-2,,,,,,
057-1,C$2.03,C$88.11,4251.3%,7.2%,,
058-1,C$2.03,C$542.68,26699.0%,,,
060-1,C$1.35,C$361.79,26699.0%,,,
060-3,,,,,,
061-1,C$1.35,C$361.79,26699.0%,,,
062-1,C$1.35,C$361.79,26699.0%,,,
063-1,C$1.35,C$361.79,26699.0%,,,
063-2,,C$405.57,,,,
