set_num,rrp,current_value,growth,annual_growth
001-1,6.68,93.78,13.034,0.049
0011-2,6.06,78.65,11.975999999999999,0.065
0011-3,10.13,828.62,80.839,0.14300000000000002
0012-1,2.69,387.68,143.30700000000002,0.126
0013-1,2.69,344.33,127.171,0.12300000000000001
0014-1,2.69,371.33,137.221,0.125
0015-1,4.04,441.19,108.301,0.11800000000000001
0016-1,4.04,,,
002-1,6.68,1982.47,295.665,
003-1,24.23,1945.2,79.27199999999999,
005-1,,249.97,,
005-2,13.49,999.62,73.12,
010-1,,,,
010-3,,,,
011-1,,190.62,,
021-1,6.68,1790.85,266.99,
022-1,,,,
0241187567-1,26.99,26.46,,
0241357594-1,26.99,,,
0241401208-1,25.64,,,
028-1,,60.17,,
030-2,,,,
032-1,17.89,44.69,1.4980000000000002,0.023
033-1,,,,
033-2,,,,
041-1,6.68,1468.0,218.679,0.10099999999999999
041-2,,150.5,,
042-1,4.71,1262.64,266.99,
044-1,,,,
044-2,6.68,1320.13,196.55,
045-1,,316.31,,
045-2,,,,
050-2,,,,
051-1,1.35,361.79,266.99,
052-1,1.35,361.79,266.99,
053-1,1.35,361.79,266.99,
054-1,,,,
055-1,1.35,361.79,266.99,
055-2,,,,
057-1,2.03,88.11,42.513000000000005,0.07200000000000001
058-1,2.03,542.68,266.99,
060-1,1.35,361.79,266.99,
060-3,,,,
061-1,1.35,361.79,266.99,
062-1,1.35,361.79,266.99,
063-1,1.35,361.79,266.99,
063-2,,405.57,,
065-1,,677.19,,
066-1,,,,
071-1,,,,
074-1,29.99,67.49,1.501,0.22399999999999998
0744024471-1,20.24,,,
075-1,29.99,41.26,0.223,0.254
0756668530-1,40.49,134.07,2.311,0.127
0756682762-1,40.49,46.2,0.141,0.015
0756692571-1,25.64,46.67,0.82,0.078
077-1,69.99,,,
078-1,2.69,479.42,177.455,
080-1,30.38,3403.42,111.04700000000001,0.091
080-2,33.74,3485.07,102.303,0.09
080-3,,542.82,,
082-1,,553.28,,
086-1,,120.66,,
088-1,80.99,2700.0,32.339,0.07400000000000001
10000-1,33.74,347.34,9.296,0.07
1000-1,63.11,313.25,3.963,0.027000000000000003
10001-1,202.49,1230.3,5.0760000000000005,0.087
10002-1,50.61,589.72,10.652000000000001,0.064
10003-1,8.09,153.77,18.015,0.168
10004-1,9.44,80.16,7.495,0.11900000000000001
10005-1,9.44,,,
10006-1,9.44,82.32,7.724,0.121
10007-1,6.74,13.61,1.02,0.065
10008-1,10.79,73.45,5.81,0.106
10009-1,6.74,11.21,0.6629999999999999,0.027000000000000003
100-1,8.09,172.15,20.289,0.094
10010-1,6.74,19.18,1.848,0.057
10011-1,6.74,15.13,1.246,0.044000000000000004
10012-1,6.74,28.03,3.16,0.078
10013-1,22.94,93.41,3.072,0.054000000000000006
10014-1,20.24,132.48,5.546,0.083
10015-1,26.99,121.5,3.502,0.04
10016-1,26.99,164.01,5.078,0.1
10017-1,26.99,122.04,3.522,0.061
10018-1,202.49,2641.69,12.046,0.08900000000000001
10019-1,269.99,2103.75,6.792000000000001,0.077
100-2,8.78,214.96,23.497,0.061
10020-1,53.99,648.62,11.015,0.096
10021-1,80.99,327.4,3.043,0.046
10022-1,47.24,671.58,13.217,0.085
10023-1,17.54,238.94,12.625,0.10400000000000001
10024-1,67.49,598.16,7.8629999999999995,0.067
10025-1,47.24,422.43,7.943,0.096
10026-1,53.99,1012.34,17.752,0.091
10027-1,94.49,853.7,8.035,0.079
10029-1,53.99,809.99,14.004000000000001,0.079
10030-1,364.49,2073.18,4.688,0.1
10036-1,26.99,249.91,8.261000000000001,0.09300000000000001
10037-1,31.04,241.42,6.779,0.078
