set_num,review_score
001-1,80.0
0011-2,75.0
0012-1,70.0
0013-1,62.0
0014-1,59.0
0015-1,77.0
0016-1,68.0
002-1,73.0
003-1,55.0
005-2,77.0
021-1,53.0
028-1,60.0
033-1,60.0
041-1,35.0
045-1,75.0
065-1,63.0
066-1,83.0
078-1,70.0
080-1,82.0
080-2,75.0
10000-1,96.0
1000-1,96.0
10001-1,84.0
10002-1,94.0
10003-1,77.0
10004-1,73.0
10005-1,72.0
10006-1,70.0
10007-1,74.0
10008-1,76.0
10009-1,70.0
100-1,78.0
10010-1,72.0
10011-1,88.0
10012-1,80.0
10013-1,75.0
10014-1,83.0
10015-1,82.0
10016-1,78.0
10017-1,91.0
10018-1,84.0
10019-1,88.0
100-2,83.0
10020-1,88.0
10021-1,80.0
10022-1,88.0
10023-1,43.0
10024-1,90.0
10025-1,90.0
10026-1,82.0
10027-1,93.0
10029-1,85.0
10030-1,87.0
10036-1,89.0
10037-1,85.0
10039-1,92.0
10040-1,90.0
10041-1,87.0
10042-1,64.0
10043-1,70.0
10044-1,71.0
10045-1,78.0
10046-1,77.0
10047-1,80.0
10048-1,60.0
10049-1,40.0
10050-1,78.0
10051-1,83.0
10053-1,85.0
10054-1,88.0
10055-1,79.0
10057-1,70.0
10058-1,70.0
10059-1,82.0
10060-1,82.0
10061-1,82.0
10062-1,80.0
10063-1,84.0
10064-1,82.0
10065-1,75.0
10066-1,75.0
10067-1,86.0
10068-1,76.0
10069-1,88.0
10070-1,59.0
10071-1,62.0
10072-1,76.0
10074-1,62.0
10075-1,68.0
10076-1,76.0
10078-1,55.0
10079-1,67.0
10080-1,73.0
10081-1,50.0
10082-1,50.0
10083-1,50.0
10090-1,83.0
10106-1,75.0
101-1,70.0
1011-1,65.0
10111-1,81.0
10112-1,72.0
10113-1,90.0
10114-1,79.0
10115-1,85.0
10121-1,37.0
10123-1,83.0
10124-1,84.0
10127-1,33.0
10128-1,85.0
10129-1,90.0
10131-1,80.0
10132-1,81.0
10133-1,87.0
10134-1,85.0
10143-1,76.0
10144-1,87.0
10145-1,81.0
10146-1,82.0
10147-1,80.0
10148-1,85.0
10149-1,82.0
10150-1,81.0
10151-1,87.0
10152-1,93.0
10153-1,87.0
10155-1,80.0
10156-1,84.0
10157-1,59.0
10158-1,63.0
10159-1,92.0
10160-1,82.0
10161-1,89.0
10162-1,82.0
10163-1,80.0
10165-1,67.0
10166-1,71.0
10167-1,61.0
10168-1,80.0
10169-1,66.0
10170-1,82.0
10173-1,86.0
10174-1,85.0
10175-1,81.0
10176-1,79.0
10177-1,81.0
10178-1,91.0
10179-1,86.0
10181-1,83.0
10182-1,91.0
10183-1,89.0
10184-1,89.0
10185-1,92.0
10186-1,80.0
10187-1,81.0
10188-1,90.0
10189-1,78.0
10190-1,84.0
10191-1,81.0
10192-1,76.0
10193-1,87.0
10194-1,92.0
10195-1,80.0
10196-1,90.0
10197-1,90.0
10198-1,80.0
10199-1,78.0
10-2,70.0
10200-1,79.0
10201-1,70.0
10202-1,70.0
10203-1,67.0
10204-1,94.0
10205-1,81.0
102-1,73.0
10210-1,90.0
10211-1,88.0
10212-1,83.0
10213-1,83.0
10214-1,89.0
10215-1,80.0
10216-1,82.0
10217-1,87.0
10218-1,90.0
10219-1,85.0
10220-1,90.0
10221-1,80.0
10222-1,80.0
10223-1,81.0
10224-1,89.0
10225-1,90.0
10226-1,90.0
10227-1,79.0
10228-1,89.0
10229-1,90.0
10230-1,83.0
10231-1,83.0
10232-1,86.0
10233-1,84.0
10234-1,78.0
10235-1,86.0
10236-1,96.0
10237-1,92.0
10240-1,83.0
10241-1,81.0
10242-1,89.0
10243-1,95.0
10244-1,89.0
10245-1,82.0
10246-1,91.0
10247-1,92.0
10248-1,86.0
10249-1,89.0
1025-1,89.0
10251-1,81.0
10252-1,89.0
10253-1,87.0
10254-1,76.0
10255-1,89.0
10256-1,73.0
10257-1,89.0
10258-1,88.0
10259-1,78.0
10260-1,91.0
10261-1,89.0
10262-1,83.0
10263-1,82.0
10264-1,78.0
10265-1,97.0
10266-1,89.0
10267-1,93.0
10268-1,86.0
10269-1,87.0
10270-1,84.0
10271-1,82.0
10272-1,91.0
10273-1,88.0
10274-1,91.0
10275-1,86.0
10276-1,89.0
10277-1,89.0
10278-1,87.0
10281-1,100.0
10285-1,100.0
1029-1,83.0
10-3,77.0
1030-1,80.0
103-1,67.0
1031-1,50.0
1032-1,74.0
1039-1,74.0
10401-1,87.0
10402-1,88.0
10403-1,89.0
10404-1,90.0
10405-1,91.0
104-1,80.0
10501-1,70.0
10502-1,94.0
10503-1,94.0
10504-1,90.0
10505-1,81.0
10506-1,79.0
10507-1,88.0
10508-1,84.0
105-1,75.0
10512-1,88.0
10513-1,90.0
10514-1,92.0
10515-1,88.0
10516-1,90.0
10517-1,82.0
10518-1,86.0
10519-1,100.0
105-2,73.0
10521-1,100.0
10522-1,92.0
10524-1,99.0
10525-1,98.0
10526-1,93.0
10527-1,96.0
10528-1,85.0
10529-1,100.0
1053-1,75.0
10532-1,90.0
10538-1,100.0
10539-1,97.0
1054-1,48.0
10542-1,96.0
10543-1,85.0
10544-1,95.0
10545-1,90.0
10546-1,86.0
10550-1,88.0
10552-1,92.0
10553-1,74.0
10554-1,80.0
10558-1,89.0
10559-1,92.0
10560-1,74.0
1056-1,70.0
10561-1,76.0
10566-1,84.0
10567-1,88.0
10568-1,68.0
10569-1,91.0
10570-1,97.0
