0,1,2,3
001-1,Unknown,"Average PPP for System in 1965 is 0.43. PPP for this set is 0.97, which is worse.",Recommendation: yes 80 / 100 → 80 / 100
0011-2,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 75 / 100 → 75 / 100
0012-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 70 / 100 → 70 / 100
0013-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 62 / 100 → 62 / 100
0014-1,59,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 62 / 100 → 62 / 100
0015-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 77 / 100 → 77 / 100
0016-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 68 / 100 → 68 / 100
002-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 73 / 100 → 73 / 100
003-1,Unknown,"Average PPP for System in 1966 is 0.55. PPP for this set is 0.32, which is better.",Recommendation: no 55 / 100 → 55 / 100
005-2,Unknown,"Average PPP for System in 1967 is 0.17. PPP for this set is 0.23, which is worse.",Recommendation: meh 77 / 100 → 77 / 100
021-1,Unknown,"Average PPP for System in 1966 is 0.55. PPP for this set is 0.24, which is better.",Recommendation: no 53 / 100 → 53 / 100
028-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: no 60 / 100 → 60 / 100
033-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: no
041-1,Unknown,"Average PPP for System in 1964 is 0.34. PPP for this set is 1.73, which is worse.",Recommendation: no 35 / 100 → 35 / 100
045-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 75 / 100 → 75 / 100
065-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 63 / 100 → 63 / 100
066-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: yes 83 / 100 → 83 / 100
078-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 70 / 100 → 70 / 100
080-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: yes 82 / 100 → 82 / 100
080-2,Unknown,"Average PPP for System in 1967 is 0.17. PPP for this set is 0.31, which is worse.",Recommendation: meh 75 / 100 → 75 / 100
10000-1,96,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.14, which is better.",Recommendation: yes 10 / 10 → 100 / 100
1000-1,Unknown,"Average PPP for Other in 1986 is 0.83. PPP for this set is 0.56, which is better.",Recommendation: meh
10001-1,84,"Average PPP for Robotics & Electronics in 2001 is 0.27. PPP for this set is 0.27, which is average.",Recommendation: yes 93 / 100 → 93 / 100
10002-1,Unknown,"Average PPP for Robotics & Electronics in 2001 is 0.27. PPP for this set is 0.19, which is better.",Recommendation: yes 94 / 100 → 94 / 100
10003-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.09, which is better.",Recommendation: meh 77 / 100 → 77 / 100
10004-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.1, which is better.",Recommendation: meh 73 / 100 → 73 / 100
10005-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.2, which is better.",Recommendation: meh 72 / 100 → 72 / 100
10006-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.2, which is better.",Recommendation: meh 70 / 100 → 70 / 100
10007-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.29, which is worse.",Recommendation: meh 74 / 100 → 74 / 100
10008-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.23, which is average.",Recommendation: meh 76 / 100 → 76 / 100
10009-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.12, which is better.",Recommendation: meh 70 / 100 → 70 / 100
100-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 78 / 100 → 78 / 100
10010-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.12, which is better.",Recommendation: meh 72 / 100 → 72 / 100
10011-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.17, which is better.",Recommendation: yes 88 / 100 → 88 / 100
10012-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.17, which is better.",Recommendation: yes 80 / 100 → 80 / 100
10013-1,75,"Average PPP for Robotics & Electronics in 2001 is 0.27. PPP for this set is 0.2, which is better.",Recommendation: meh 77 / 100 → 77 / 100
10014-1,83,"Average PPP for Robotics & Electronics in 2001 is 0.27. PPP for this set is 0.13, which is better.",Recommendation: yes 86 / 100 → 86 / 100
10015-1,82,"Average PPP for Robotics & Electronics in 2001 is 0.27. PPP for this set is 0.14, which is better.",Recommendation: yes 85 / 100 → 85 / 100
10016-1,78,"Average PPP for Robotics & Electronics in 2001 is 0.27. PPP for this set is 0.23, which is better.",Recommendation: yes 88 / 100 → 88 / 100
