set_num,value
10000-1,224.72
10001-1,457.96
10013-1,99.35
10016-1,247.25
10017-1,147.48
10024-1,350.56
10027-1,857.51
10030-1,919.1
10036-1,64.21
10079-1,8.34
10090-1,15.52
101-1,15.62
10115-1,18.67
10124-1,434.43
10128-1,202.9
101-1,15.62
10131-1,214.94
10143-1,1399.32
10144-1,316.69
10157-1,313.26
10173-1,776.19
10177-1,1086.67
10182-1,77.05
10184-1,589.91
10186-1,496.35
10188-1,604.25
10189-1,3449.76
10190-1,1009.05
10191-1,213.81
10193-1,318.03
10194-1,1253.03
10196-1,2544.23
10197-1,1047.86
10198-1,254.42
10200-1,110.84
10210-1,898.86
10211-1,524.11
10214-1,257.72
10215-1,249.9
10216-1,437.35
10218-1,267.14
10220-1,135.89
10221-1,1416.54
10224-1,1159.31
10225-1,455.81
10226-1,241.52
10227-1,674.16
10228-1,582.15
10229-1,512.29
10230-1,287.15
10231-1,889.21
10232-1,413.44
10233-1,385.21
10234-1,496.77
10235-1,282.35
10236-1,508.85
10240-1,403.04
10241-1,449.44
10243-1,376.55
10244-1,293.86
10245-1,367.64
10246-1,433.06
10247-1,533.53
10248-1,449.44
10249-1,251.88
10251-1,554.49
10252-1,170.18
10253-1,539.33
10254-1,194.24
10255-1,453.42
10256-1,347.74
10257-1,423.33
10258-1,156.04
10259-1,231.14
10260-1,357.69
10261-1,502.83
10262-1,196.66
10263-1,124.18
10264-1,257.68
10265-1,178.51
10266-1,140.56
10267-1,170.75
10268-1,213.5
10269-1,116.41
10270-1,254.42
10271-1,99.2
10272-1,357.91
10273-1,400.72
10274-1,330.25
10275-1,193.72
10276-1,860.23
10277-1,171.74
10278-1,295.85
10280-1,101.37
1031-1,15.66
1033-1,31.05
10401-1,10.0
10402-1,13.36
10403-1,3.48
6225347,36.89
10405-1,96.83
10504-1,82.62
10510-1,56.66
10513-1,29.48
10521-1,9.74
10529-1,32.29
10539-1,48.9
10553-1,28.78
10554-1,42.07
10558-1,13.91
10559-1,8.68
10567-1,31.33
10572-1,40.21
10573-1,13.9
10574-1,34.79
10581-1,27.33
10589-1,31.98
10602-1,64.27
10603-1,32.44
10654-1,124.19
10665-1,9.25
10666-1,15.62
10667-1,31.8
10668-1,39.99
10669-1,30.23
10673-1,39.16
10675-1,104.41
10677-1,24.4
10679-1,25.44
10681-1,43.51
1069-1,25.44
10692-1,15.25
10693-1,24.77
10694-1,31.05
10695-1,63.59
10696-1,26.11
10697-1,139.93
10698-1,61.06
10704-1,38.15
10706-1,10.0
10707-1,4.27
10708-1,5.78
10709-1,5.78
10713-1,24.01
10714-1,8.82
10715-1,30.32
10721-1,17.29
10722-1,12.6
10723-1,19.98
10725-1,66.18
10726-1,23.27
10727-1,78.08
10731-1,19.7
10735-1,38.4
10742-1,45.0
10743-1,7.76
10748-1,15.0
10749-1,27.31
10750-1,11.12
10751-1,24.16
10754-1,48.52
10755-1,29.48
10756-1,24.33
10757-1,49.66
10758-1,89.04
10759-1,24.1
10761-1,63.3
10764-1,64.21
10765-1,19.07
10767-1,15.51
10768-1,23.27
10771-1,31.03
10804-1,100.89
10805-1,177.26
10806-1,23.29
10813-1,75.28
10817-1,52.63
10819-1,43.31
10824-1,43.31
10826-1,75.91
10831-1,21.58
10839-1,31.03
10845-1,40.35
10847-1,21.83
10849-1,7.75
10851-1,10.08
10854-1,59.81
10861-1,18.87
10863-1,26.72
6213736,22.69
10867-1,31.05
10870-1,13.15
10871-1,41.09
10872-1,21.63
10873-1,32.1
10874-1,83.47
10875-1,158.78
10878-1,92.86
10879-1,44.3
10881-1,39.32
10883-1,15.51
10884-1,18.29
10885-1,28.77
10886-1,24.2
10894-1,36.54
10895-1,25.43
10897-1,17.02
10898-1,15.51
10900-1,11.82
10902-1,46.56
10903-1,62.87
10904-1,13.01
10906-1,75.44
10908-1,12.34
10909-1,24.84
10910-1,23.29
10913-1,54.81
10914-1,91.34
10915-1,36.6
10917-1,7.75
10918-1,5.72
6288656,43.99
10921-1,37.19
10922-1,37.19
10924-1,37.19
10925-1,18.29
10926-1,18.29
10927-1,11.75
10928-1,48.81
10929-1,106.55
10930-1,11.82
10932-1,75.44
10937-1,343.63
1094-1,15.52
10953-1,11.61
10955-1,24.25
1097-1,17.4
1099-1,31.8
11001-1,8.85
11003-1,51.69
11004-1,53.28
11006-1,5.68
11007-1,5.72
11008-1,31.96
11009-1,36.37
11010-1,8.82
11011-1,77.03
1103-1,23.43
111901-1,12.17
111904-1,6.19
1119-1,69.86
112005,3.15
112006-1,6.0
112007-1,5.2
112008-1,14.04
1146-1,54.33
117-1,54.18
11717-1,129.45
1185,31.24
1186,31.24
1187,42.95
1188,15.11
11910-1,22.26
11938-1,5.26
11941-1,7.79
11943-1,12.4
1195-1,12.97
1197,57.42
1203-1,13.97
1211-1,7.81
121801-1,6.05
121904-1,7.75
122005-1,6.19
122006-1,5.42
122009-1,8.98
122010-1,8.64
1249,20.87
1250-1,4.99
1251,11.16
1255,30.27
1263,13.87
1264,15.54
1295-1,8.7
131-1,92.18
1351-1,57.25
1352,76.07
1353-1,34.14
1355-1,7.7
1356,12.9
1360,23.78
1361-1,23.29
1363-1,23.27
1381-1,89.89
1382-1,128.41
1383-1,26.72
139A-1,515.89
1405-1,15.51
146-1,124.19
1464-1,7.3
1475-1,62.33
1478-1,38.81
1491-1,35.62
1499-1,38.43
150-1,15.62
151-1,15.62
153-1,38.81
154-1,18.63
155-1,23.29
156-2,4.84
1572-1,29.42
160-1,23.29
1621-1,54.33
1630-1,3.48
1641,7.11
1677,12.32
17101-1,153.85
1730-1,4.66
1731-1,31.05
1733-1,4.66
1747,14.84
1752,9.37
1761-1,3.88
1772-1,61.7
1774-1,77.62
1787-1,122.64
1789-1,388.1
1793-1,388.1
1808,21.72
1815,77.54
1817,12.4
1825,8.68
1827-1,8.68
1831,619.4
1858-1,38.81
1875-1,23.29
1887-1,23.29
1896-1,44.52
1899-1,109.05
1916-1,23.29
1955,541.78
4194865,675.29
6037809,1218.55
6057521,896.08
6131785,96.12
2000448-1,10.69
6185446,572.45
6142809,15.23
200-1,17.85
20010-1,26.23
20019-1,21.75
2015-1,7.11
2024-1,7.76
2025-1,1.27
2032-1,2.06
2045-1,1.27
2056-1,63.63
2063-1,11.64
2067-1,12.42
2068-1,8.84
2069-1,1.8
21001-1,310.48
21002-1,93.14
21003-1,100.91
21005-1,543.34
21006-1,57.25
21007-1,929.54
21008-1,59.98
21009-1,286.23
210-1,22.46
21010-1,877.1
21013-1,38.99
21014-1,566.62
21016-1,620.96
21017-1,272.69
21018-1,228.96
21020-1,251.88
21021-1,1399.32
21022-1,178.53
21024-1,200.99
21026-1,177.97
21027-1,177.97
21028-1,61.97
21029-1,146.29
21030-1,115.69
21031-1,148.2
21032-1,165.99
21033-1,156.62
21034-1,46.42
21035-1,153.62
6174068,91.59
21039-1,108.65
21041-1,91.59
21042-1,119.38
21043-1,50.45
21044-1,57.74
21045-1,94.59
21046-1,118.26
21047-1,76.07
21050-1,693.3
21051-1,70.93
21052-1,71.25
6288701,117.83
21055-1,93.13
21101-1,381.63
21107-1,57.27
21108-1,144.18
21109-1,74.94
211-1,10.09
21110-1,69.95
21113-1,19.09
6092423,40.01
21115-1,160.15
21116-1,56.66
21117-1,93.14
21118-1,268.42
21120-1,38.73
2112-1,11.36
21121-1,114.36
21122-1,168.87
21123-1,3.73
21128-1,743.59
21129-1,77.6
21135-1,153.69
21136-1,262.35
21138-1,54.32
21140-1,37.98
21141-1,31.8
21142-1,91.59
21143-1,107.11
21147-1,169.21
21148-1,38.16
21149-1,46.42
21150-1,60.54
2115-1,8.0
21151-1,24.25
21153-1,24.99
21154-1,47.99
21155-1,102.91
21157-1,23.13
21158-1,33.49
21159-1,55.34
21160-1,89.05
2116-1,4.93
21161-1,83.81
21162-1,11.94
21163-1,55.87
211701-1,6.19
211702-1,6.0
211803-1,5.2
211902-1,4.49
211904-1,6.21
21200-1,9.73
212007-1,8.58
212008-1,5.42
212009-1,6.19
212012-1,12.01
2126,619.4
21301-1,152.65
21302-1,240.31
21304-1,154.91
21305-1,114.43
21307-1,127.19
21308-1,49.61
21309-1,152.65
213-1,14.75
21310-1,408.99
21311-1,349.76
21312-1,44.52
21313-1,124.18
21314-1,63.61
21315-1,100.47
21316,81.14
21317-1,121.01
21318-1,308.26
21319-1,43.47
21320-1,93.13
21321-1,106.71
21322-1,99.35
21323-1,548.18
6316436,217.33
2141-1,13.2
2142-1,10.09
2143-1,10.1
2144-1,9.25
2145-1,11.84
2149,116.43
2150-1,852.26
2151,24.17
2161-1,30.53
2174-1,10.18
2175-1,7.64
2182-1,18.58
2191-1,6.99
2193-1,12.88
2231-1,18.63
2232-1,19.41
2253,49.61
2254-1,20.1
2255-1,5.96
2256-1,8.0
2259-1,10.87
2260-1,46.57
2263-1,23.29
2277-1,15.51
2282-1,52.29
2283-1,56.79
2294-1,7.73
230-1,61.09
2304,16.22
241501-1,5.15
241502-1,5.15
241601-1,6.86
241701-1,3.9
241702-1,5.15
242001-1,5.42
242002-1,8.58
242003-1,12.01
2504-1,25.67
2505-1,389.75
2506-1,46.57
2507-1,191.44
2508-1,19.34
2516-1,4.93
2518-1,28.72
2535,6.99
2536-1,6.99
2537,6.99
254-1,153.69
2541,6.99
2542-1,6.99
2544-1,3.1
256-1,24.84
258-1,348.58
2584,8.72
2634-1,23.24
2647-1,116.43
265-1,30.97
2671-1,19.37
2674-1,76.07
2683,82.69
269-1,89.05
2695-1,24.77
271-1,23.29
271601-1,4.2
271602-1,3.35
271605-1,4.0
271606-1,1.81
271607-1,2.36
271608-1,3.04
271609-1,2.77
271610-1,2.43
271611-1,2.41
271713-1,2.0
271714-1,2.93
271716-1,3.88
271718-1,2.41
271720-1,2.84
271721-1,1.74
271722-1,3.44
271723-1,1.55
271824-1,2.23
271825-1,3.26
271826-1,3.09
271827-1,2.72
271828-1,3.48
271829-1,2.69
271831-1,3.86
271832-1,3.14
272-1,15.49
2728,6.94
2729-1,10.43
2742,5.2
2744,3.1
275-1,23.24
2757-1,5.2
2759,4.32
2769,34.99
2829-1,51.88
2847,6.17
2849,3.09
2853300,442.51
4591726,88.51
2870,3.01
