,set number,name,theme,subtheme,year,availability,pieces,retail price,value,growth,annual growth
0,001-1,Gears,Samsonite,Basic Set,1965,Retired,43  (PPP C$0.15),C$6.33,C$88.52,+1298.18%,+4.92%
1,0011-2,Town Minifigures,Town,Accessories,1979,Retired,3  (PPP C$1.91),C$5.74,C$74.11,+1190.42%,+6.44%
2,0011-3,2 For 1 Bonus Offer,Castle,Value Packs,1987,Retired,151  (PPP C$0.06),C$9.59,C$776.35,+7993.33%,+14.25%
3,0012-1,Space Minifigures,Space,,1979,Retired,4  (PPP C$0.64),C$2.55,Unknown,,
4,0013-1,Space Minifigures,Space,,1979,Retired,4  (PPP C$0.64),C$2.55,Unknown,,
5,0014-1,Space Minifigures,Space,,1979,Retired,4  (PPP C$0.64),C$2.55,Unknown,,
6,0015-1,Space Minifigures,Space,,1979,Retired,18  (PPP C$0.21),C$3.82,Unknown,,
7,0016-1,Castle Minifigures,Castle,,1979,Retired,6  (PPP C$0.64),C$3.82,Unknown,,
8,002-1,4.5V Samsonite Gears Motor Set,Samsonite,Basic Set,1965,Retired,3  (PPP C$2.11),C$6.33,"C$1,696.66 Low accuracy",+26699.03%,
9,003-1,Master Mechanic Set,Samsonite,Basic Set,1966,Retired,418  (PPP C$0.05),C$22.96,"C$1,701.66 Low accuracy",+7312.02%,
10,005-1,Basic Building Set in Cardboard,Classic,Basic Set,1965,Retired,,,C$234.97,,
11,005-2,Discovery Set,Samsonite,Basic Set,1967,Retired,328  (PPP C$0.04),C$12.78,C$874.47 Low accuracy,+6743.97%,
12,010-1,Basic Building Set in Cardboard,Classic,Basic Set,1965,Retired,,,Unknown,,
13,010-3,Basic Building Set,Classic,Basic Set,1968,Retired,78,,Unknown,,
14,022-1,Basic Building Set,Classic,Basic Set,1968,Retired,110,,Unknown,,
15,033-2,Basic Building Set,Classic,Basic Set,1968,Retired,182,,Unknown,,
16,044-1,Basic Building Set,Classic,Basic Set,1968,Retired,234,,Unknown,,
17,055-2,Basic Building Set,Classic,Basic Set,1968,Retired,,,Unknown,,
18,066-1,Basic Building Set,Classic,Basic Set,1968,Retired,407,,Unknown,,
19,011-1,Basic Building Set,Classic,Basic Set,1968,Retired,146,,C$179.53,,
20,021-1,Wheel Set,Samsonite,Basic Set,1966,Retired,185  (PPP C$0.03),C$6.33,"C$1,532.67 Low accuracy",+24108.70%,
21,028-1,Nursery Furniture,Duplo,,1979,Retired,2,,C$56.54,,
22,030-2,Building Set,Duplo,Building Sets,1973,Retired,29,,Unknown,,
23,515-2,Building Set,Duplo,Building Sets,1973,Retired,31,,Unknown,,
24,032-1,Living Room Furniture,Duplo,,1979,Retired,14  (PPP C$1.21),C$16.95,C$42.26,+149.36%,+2.25%
25,033-1,Farm Animals,Duplo,,1979,Retired,21,,Unknown,,
26,041-1,Pre-School Beginners Set,Samsonite,Jumbo Bricks,1964,Retired,24  (PPP C$0.26),C$6.33,"C$1,379.18",+21684.44%,+10.10%
27,041-2,Pre School Set Play-Box,Duplo,Building Sets,1979,Retired,4,,C$141.65,,
28,042-1,Pre-School Set Brick Pull-Toy,Samsonite,Jumbo Bricks,1966,Retired,6  (PPP C$0.74),C$4.46,"C$1,080.61 Low accuracy",+24108.70%,
29,044-2,Jumbo Bricks,Samsonite,Jumbo Bricks,1969,Retired,30  (PPP C$0.21),C$6.33,"C$1,129.81 Low accuracy",+17745.50%,
30,045-1,Farm,Duplo,,1979,Retired,65,,C$296.22,,
31,045-2,36 Assorted Basic Bricks,Samsonite,Supplemental,1969,Retired,,,Unknown,,
32,050-2,Lighting Device Pack,Samsonite,Supplemental,1969,Retired,4,,Unknown,,
33,051-1,49 Red Assorted Basic Bricks,Samsonite,Supplemental,1966,Retired,,C$1.28,C$309.63 Low accuracy,+24108.70%,
34,052-1,49 White Assorted Basic Bricks,Samsonite,Supplemental,1966,Retired,,C$1.28,C$309.63 Low accuracy,+24108.70%,
35,053-1,49 Blue Assorted Basic Bricks,Samsonite,Supplemental,1966,Retired,50  (PPP C$0.03),C$1.28,C$309.63 Low accuracy,+24108.70%,
36,054-1,49 Yellow Assorted Basic Bricks,Samsonite,Supplemental,1966,Retired,,,Unknown,,
37,055-1,Trees and Bushes,Samsonite,Supplemental,1966,Retired,,C$1.28,C$309.63 Low accuracy,+24108.70%,
38,057-1,4 Large Wheels,Samsonite,Supplemental,1966,Retired,,C$1.92,C$83.10,+4231.33%,+7.23%
39,058-1,8 Small Wheels,Samsonite,Supplemental,1966,Retired,26  (PPP C$0.07),C$1.92,C$464.44 Low accuracy,+24108.70%,
40,060-1,14 White Flat Plates,Samsonite,Supplemental,1966,Retired,,C$1.28,C$309.63 Low accuracy,+24108.70%,
41,060-3,Jumbo Brick School Set,Dacta,Samsonite,1968,Retired,60,,Unknown,,
42,061-1,5 Green Large Base Plates,Samsonite,Supplemental,1966,Retired,,C$1.28,C$309.63 Low accuracy,+24108.70%,
43,062-1,5 White Large Base Plates,Samsonite,Supplemental,1966,Retired,,C$1.28,C$309.63 Low accuracy,+24108.70%,
44,063-1,5 Blue Large Base Plates,Samsonite,Supplemental,1966,Retired,,C$1.28,C$309.63 Low accuracy,+24108.70%,
45,063-2,Ducks,Duplo,PreSchool,1978,Retired,5,,C$381.33,,
46,065-1,Garage Door,Samsonite,Supplemental,1969,Retired,6,,C$676.94,,
47,071-1,Block Box,Duplo,Building Sets,1979,Retired,24,,Unknown,,
48,078-1,Roadway Base Plate,Samsonite,Supplemental,1970,Retired,1  (PPP C$2.55),C$2.55,C$410.30 Low accuracy,+16020.59%,
49,080-1,Basic Building Set with Train,Classic,Basic Set,1967,Retired,718,,Unknown,,
50,080-2,Ambassador Set,Samsonite,Basic Set,1967,Retired,560  (PPP C$0.06),C$31.96,"C$2,187.48 Low accuracy",+6743.97%,
51,080-3,Police Station,Duplo,PreSchool,1976,Retired,28,,C$509.98,,
52,082-1,LEGOVille,Duplo,PreSchool,1976,Retired,66,,C$519.80,,
53,086-1,Tub Boat,Duplo,PreSchool,1978,Retired,3,,C$113.34,,
54,088-1,4.5V Super Set,Universal Building Set,Basic Set,1969,Retired,615  (PPP C$0.12),C$76.73,"C$2,591.48",+3277.53%,+7.41%
55,10000-1,Guarded Inn,Castle,Lion Knights,2001,Retired,253  (PPP C$0.13),C$31.96,C$306.96,+860.38%,+6.94%
56,1000-1,Mosaic Set,Dacta,,1986,Retired,191  (PPP C$0.31),C$59.79,C$265.71,+344.39%,+4.49%
57,10001-1,Metroliner Legend,Trains,9V,2001,Retired,782  (PPP C$0.25),C$191.84,"C$1,157.24",+503.24%,+8.58%
58,10002-1,Railroad Club Car,Trains,9V,2001,Retired,293  (PPP C$0.16),C$47.95,C$511.56,+966.87%,+6.62%
59,10003-1,1x2 Sand Red Bricks,Bulk Bricks,,2001,Retired,100  (PPP C$0.08),C$7.66,C$143.98,+1779.30%,+16.71%
