,0,1,2
0,001-1,-,CA $80.26
1,0011-2,-,CA $22.26
2,0016-1,-,-
3,002-1,-,CA $147.68
4,005-2,-,CA $98.23
5,00-6,CA $20.53,-
6,010-1,-,CA $88.89
7,011-1,-,CA $21.16
8,021-1,-,CA $32.10
9,022-1,-,CA $60.93
10,028-1,-,CA $14.65
11,041-1,-,CA $311.88
12,044-1,-,CA $70.53
13,050-2,CA $54.85,CA $33.37
14,055-2,-,CA $65.30
15,063-2,-,CA $26.44
16,065-1,-,CA $385.24
17,066-1,-,CA $385.24
18,074-1,CA $77.05,-
19,080-1,-,CA $757.63
20,080-3,-,CA $40.11
21,082-1,-,CA $86.98
22,088-1,"CA $2,568.27",CA $203.55
23,10000-1,CA $387.14,CA $241.48
24,10001-1,"CA $1,361.18",CA $510.52
25,10002-1,CA $548.33,CA $319.55
26,10003-1,CA $150.06,-
27,10004-1,CA $77.57,-
28,10006-1,CA $84.21,-
29,10007-1,CA $19.52,-
30,10008-1,CA $96.31,-
31,10009-1,CA $31.59,CA $11.62
32,100-1,-,CA $81.84
33,10010-1,CA $36.59,CA $15.41
34,10011-1,CA $20.19,CA $10.59
35,10012-1,-,CA $15.41
36,10013-1,CA $114.68,CA $67.58
37,10014-1,CA $133.00,CA $78.96
38,10015-1,CA $121.05,CA $96.93
39,10016-1,CA $167.57,CA $99.73
40,10017-1,CA $148.75,CA $82.89
41,10018-1,"CA $2,939.68",CA $782.29
42,10019-1,"CA $1,907.37","CA $1,126.40"
43,100-2,-,CA $66.45
44,10020-1,CA $761.43,CA $344.13
45,10020-2,CA $814.64,CA $403.06
46,10021-1,CA $309.63,CA $178.87
47,10022-1,CA $727.70,CA $352.21
48,10023-1,CA $253.50,CA $88.56
49,10024-1,CA $559.53,CA $351.23
50,10025-1,CA $493.10,CA $335.52
51,10026-1,CA $998.04,CA $528.02
52,10027-1,CA $804.61,CA $562.75
53,10029-1,CA $807.27,CA $287.67
54,10030-1,"CA $2,464.56","CA $1,269.63"
55,10036-1,CA $207.71,CA $70.89
56,10037-1,CA $226.22,CA $94.97
57,10039-1,CA $694.01,CA $328.83
58,10040-1,"CA $2,568.26","CA $1,151.73"
59,10041-1,CA $460.53,CA $152.81
60,10042-1,CA $30.56,CA $7.84
61,10043-1,-,CA $10.68
62,10044-1,CA $25.28,-
63,10045-1,CA $62.66,-
64,10046-1,CA $55.57,-
65,10047-1,CA $18.14,CA $15.41
66,10048-1,CA $23.37,-
67,10049-1,-,-
68,10050-1,CA $32.74,-
69,10051-1,CA $28.42,-
70,10053-1,CA $17.57,-
71,10054-1,CA $22.95,-
72,10055-1,CA $19.25,-
73,10056-1,CA $19.82,-
74,10057-1,CA $18.62,CA $15.41
75,10058-1,CA $12.83,-
76,10060-1,CA $16.56,-
77,10061-1,-,CA $15.41
78,10062-1,CA $21.72,-
79,10063-1,CA $15.48,-
80,10064-1,CA $29.02,-
81,10065-1,CA $25.86,-
82,10066-1,CA $38.52,-
83,10067-1,CA $21.67,-
