,0,1,2
0,70634-1,CA $18.48,CA $12.17
1,70636-1,CA $16.49,CA $7.80
2,70637-1,CA $15.93,CA $8.08
3,70638-1,CA $33.48,CA $20.77
4,70639-1,CA $100.88,CA $45.45
5,70640-1,CA $70.00,CA $35.55
6,70641-1,CA $77.34,CA $38.05
7,70642-1,CA $223.55,CA $146.14
8,70643-1,CA $205.33,CA $125.52
9,70644-1,CA $24.51,CA $18.40
10,70645-1,CA $21.19,CA $8.74
11,70646-1,CA $20.58,CA $7.80
12,70647-1,CA $22.12,CA $9.20
13,70648-1,CA $20.09,CA $7.32
14,70650-1,CA $34.43,CA $20.80
15,7065-1,CA $101.89,CA $53.08
16,70651-1,CA $41.89,CA $23.70
17,70652-1,CA $110.16,CA $62.13
18,70653-1,CA $134.07,CA $95.43
19,70654-1,CA $199.42,-
20,70655-1,CA $201.56,CA $130.24
21,70656-1,CA $191.59,CA $141.43
22,70657-1,CA $506.85,CA $399.31
23,70658-1,CA $90.64,CA $44.95
24,70659-1,CA $20.91,CA $9.06
25,70660-1,CA $17.72,CA $12.12
26,7066-1,CA $219.82,CA $125.86
27,70661-1,CA $18.39,CA $10.91
28,70662-1,CA $18.00,CA $10.32
29,70663-1,CA $27.81,-
30,70664-1,CA $28.17,-
31,70665-1,CA $23.05,CA $25.59
32,70666-1,CA $29.63,CA $18.31
33,70667-1,CA $47.44,CA $15.41
34,70668-1,CA $59.99,CA $39.26
35,70669-1,CA $109.09,CA $55.99
36,70670-1,CA $135.81,-
37,7067-1,CA $77.53,CA $43.46
38,70671-1,CA $22.40,-
39,70672-1,CA $26.97,CA $13.19
40,70673-1,CA $40.11,CA $31.54
41,70674-1,CA $61.08,CA $24.31
42,70675-1,CA $69.04,-
43,70676-1,CA $112.54,CA $50.39
44,70677-1,CA $202.70,CA $122.01
45,70678-1,CA $140.85,-
46,70679-1,CA $161.52,CA $51.37
47,70680-1,CA $14.86,CA $9.45
48,70681-1,CA $16.03,CA $9.70
49,70682-1,CA $14.53,CA $7.80
50,70683-1,CA $15.62,CA $7.92
51,70684-1,CA $29.87,CA $14.12
52,70685-1,CA $13.74,CA $5.85
53,70686-1,CA $13.49,CA $7.42
54,70687-1,CA $13.40,CA $5.85
55,70700-1,CA $26.47,CA $15.15
56,7070-1,CA $31.14,CA $6.45
57,70701-1,CA $70.13,CA $27.26
58,70702-1,CA $48.23,CA $31.60
59,70703-1,CA $63.19,CA $48.98
60,70704-1,CA $102.15,CA $62.20
61,70705-1,CA $103.09,CA $61.83
62,70706-1,CA $33.69,CA $21.18
63,70707-1,CA $103.74,CA $55.31
64,70708-1,CA $111.22,CA $81.63
65,70709-1,CA $229.73,CA $148.29
66,7071-1,CA $50.10,CA $14.26
67,70720-1,CA $37.69,CA $14.98
68,7072-1,CA $68.06,CA $21.81
69,70721-1,CA $98.87,CA $27.29
70,70722-1,CA $94.52,CA $21.06
71,70723-1,CA $134.43,CA $52.24
72,70724-1,CA $150.03,CA $90.29
73,70725-1,CA $146.34,CA $75.18
74,70726-1,CA $92.64,CA $60.13
75,70727-1,CA $222.48,CA $65.87
76,70728-1,CA $282.52,CA $150.71
77,70730-1,CA $58.99,CA $39.82
