set_num,rrp,dollars_per_part,annual_growth,good_investment,years_since_release,num_parts,theme_name,is_parent_theme,num_minifigs,dominant_color,prop_trans_parts,num_unique_parts,num_part_cat,num_cat_part_count,review_score,availability
001-1,6.68,0.15534883720930232,0.049,0,56,43,Technic,1,0.0,White,0.0,12,5,209,80.0,Retired
0012-1,2.69,0.22416666666666665,0.126,1,42,12,Supplemental,0,2.0,Black,0.0,1,1,1414,70.0,Retired
0013-1,2.69,0.22416666666666665,0.123,1,42,12,Supplemental,0,2.0,Black,0.0,1,1,1414,62.0,Retired
0014-1,2.69,0.22416666666666665,0.125,1,42,12,Supplemental,0,2.0,Black,0.0,1,1,1414,59.0,Retired
0015-1,4.04,0.22444444444444445,0.118,1,42,18,Supplemental,0,1.0,Black,0.0,1,1,1414,77.0,Retired
002-1,6.68,2.2266666666666666,0.106933,1,56,3,Technic,1,0.0,White,0.0,3,1,505,73.0,Retired
003-1,24.23,0.06012406947890819,0.0827531,1,55,403,Basic Set,0,0.0,White,0.058823529411764705,28,6,759,55.0,Retired
021-1,6.68,0.03650273224043716,0.106925,1,55,183,Basic Set,0,0.0,Red,0.07142857142857142,30,6,716,53.0,Retired
041-1,6.68,0.2783333333333333,0.101,1,57,24,Primo,1,0.0,Red,0.0,1,1,3425,35.0,Retired
078-1,2.69,2.69,0.106878,1,51,1,Supplemental,0,0.0,Green,0.0,1,1,234,70.0,Retired
080-1,30.38,0.0426685393258427,0.091,1,54,712,Basic Set,0,0.0,Red,0.017241379310344827,57,13,661,82.0,Retired
080-2,33.74,0.047387640449438204,0.09,1,54,712,Basic Set,0,0.0,Red,0.017241379310344827,57,13,661,75.0,Retired
10000-1,33.74,0.131796875,0.07,0,20,256,Lion Knights,0,1.0,Light Gray,0.0,66,16,660,96.0,Retired
1000-1,63.11,0.3321578947368421,0.027,0,36,190,Duplo and Explore,0,0.0,White,0.0,40,1,3425,96.0,Retired
10001-1,202.49,0.2572935196950445,0.087,1,20,787,Train,1,1.0,Black,0.048484848484848485,111,24,560,84.0,Retired
10002-1,50.61,0.17273037542662115,0.064,0,20,293,Train,1,1.0,Light Gray,0.04477611940298507,54,16,530,94.0,Retired
10003-1,8.09,0.0809,0.168,1,20,100,Bulk Bricks,1,0.0,Sand Red,0.0,1,1,1069,77.0,Retired
10004-1,9.44,0.0944,0.119,1,20,100,Bulk Bricks,1,0.0,Sand Red,0.0,1,1,1069,73.0,Retired
10006-1,9.44,0.1888,0.121,1,20,50,Bulk Bricks,1,0.0,Sand Red,0.0,1,1,1069,70.0,Retired
10007-1,6.74,0.2696,0.065,0,20,25,Bulk Bricks,1,0.0,Sand Red,0.0,1,1,506,74.0,Retired
10008-1,10.79,0.2158,0.106,1,20,50,Bulk Bricks,1,0.0,Sand Red,0.0,1,1,506,76.0,Retired
10009-1,6.74,0.10870967741935485,0.027,0,20,62,Bulk Bricks,1,0.0,Blue,0.0,11,1,1069,70.0,Retired
100-1,8.09,0.505625,0.094,1,55,16,4.5V,0,0.0,Light Gray,0.0,10,3,322,78.0,Retired
10010-1,6.74,0.10698412698412699,0.057,0,18,63,Bulk Bricks,1,0.0,Yellow,0.0,11,1,1069,72.0,Retired
10011-1,6.74,0.1604761904761905,0.044,0,20,42,Bulk Bricks,1,0.0,Blue,0.0,17,1,86,88.0,Retired
10012-1,6.74,0.1604761904761905,0.078,0,20,42,Bulk Bricks,1,0.0,Yellow,0.0,17,1,86,80.0,Retired
10013-1,22.94,0.18958677685950415,0.054,0,20,121,My Own Train,0,0.0,Black,0.0,26,13,300,75.0,Retired
10014-1,20.24,0.11905882352941176,0.083,1,20,170,My Own Train,0,0.0,Black,0.05454545454545454,47,14,391,83.0,Retired
10015-1,26.99,0.13912371134020618,0.04,0,20,194,My Own Train,0,0.0,Black,0.09523809523809523,35,14,416,82.0,Retired
10016-1,26.99,0.210859375,0.1,1,20,128,My Own Train,0,0.0,Black,0.0,33,13,423,78.0,Retired
10017-1,26.99,0.11837719298245614,0.061,0,20,228,My Own Train,0,0.0,Black,0.0,41,17,499,91.0,Retired
10018-1,202.49,0.10839935760171307,0.089,1,20,1868,Ultimate Collector Series,0,0.0,Black,0.008928571428571428,59,12,586,84.0,Retired
10019-1,269.99,0.15445652173913044,0.077,0,20,1748,Ultimate Collector Series,0,0.0,White,0.003968253968253968,164,26,429,88.0,Retired
100-2,8.78,0.3251851851851852,0.061,0,55,27,4.5V,0,0.0,Light Gray,0.0,9,3,340,83.0,Retired
10020-1,53.99,0.12411494252873563,0.096,1,19,435,9V,0,1.0,Light Gray,0.04918032786885246,83,21,532,88.0,Retired
10021-1,80.99,0.08315195071868582,0.046,0,18,974,Hobby Sets,1,0.0,Black,0.0,57,19,434,80.0,Retired
10022-1,47.24,0.11521951219512196,0.085,1,19,410,My Own Creation,0,0.0,Light Gray,0.12345679012345678,62,18,481,88.0,Retired
10023-1,17.54,0.158018018018018,0.104,1,19,111,Bionicle,1,0.0,Dark Gray,0.021739130434782608,45,13,224,43.0,Retired
10024-1,67.49,0.10088191330343796,0.067,0,19,669,Creator Expert,0,0.0,Red,0.0,139,29,399,90.0,Retired
10025-1,47.24,0.14535384615384617,0.096,1,19,325,My Own Creation,0,0.0,Light Gray,0.07462686567164178,56,15,524,90.0,Retired
10026-1,53.99,0.2871808510638298,0.091,1,19,188,Ultimate Collector Series,0,0.0,Yellow,0.011363636363636364,71,19,341,82.0,Retired
10027-1,94.49,0.14102985074626864,0.079,0,18,670,World City,0,1.0,Dark Gray,0.043209876543209874,121,29,570,93.0,Retired
10029-1,53.99,0.11511727078891258,0.079,0,18,469,Discovery,1,2.0,Light Gray,0.031496062992125984,95,25,435,85.0,Retired
10030-1,364.49,0.11701123595505618,0.1,1,19,3115,Ultimate Collector Series,0,0.0,Light Gray,0.027522935779816515,160,29,359,87.0,Retired
10036-1,26.99,0.17874172185430462,0.093,1,19,151,Food & Drink,0,1.0,White,0.07575757575757576,58,23,514,89.0,Retired
10037-1,31.04,0.15917948717948718,0.078,0,19,195,Food & Drink,0,1.0,White,0.1323529411764706,52,16,698,85.0,Retired
10039-1,53.99,0.12555813953488373,0.079,0,19,430,Black Falcons,0,1.5,Light Gray,0.0,74,18,515,92.0,Retired
10040-1,121.49,0.13263100436681222,0.133,1,19,916,Pirates,1,1.0,Black,0.01092896174863388,138,29,501,90.0,Retired
10041-1,87.75,0.13732394366197184,0.083,1,18,639,Traffic,0,1.1428571428571428,Red,0.04794520547945205,92,22,510,87.0,Retired
10042-1,4.04,0.11542857142857144,0.09,1,18,35,Seasonal,1,0.0,White,0.0,6,3,68,64.0,Retired
10043-1,8.09,8.09,0.058,0,19,1,Bulk Bricks,1,0.0,Black,0.0,1,1,505,70.0,Retired
10044-1,10.79,0.2452272727272727,0.025,0,19,44,Bulk Bricks,1,0.0,Red,0.16666666666666666,6,1,423,71.0,Retired
10045-1,17.54,1.3492307692307692,0.076,0,19,13,Bulk Bricks,1,0.0,Black,0.0,3,2,84,78.0,Retired
10046-1,9.44,0.0944,0.106,1,19,100,Bulk Bricks,1,0.0,Brown,0.0,3,1,1639,77.0,Retired
10047-1,8.09,0.2247222222222222,0.039,0,19,36,Bulk Bricks,1,0.0,Light Gray,0.0,2,2,254,80.0,Retired
10048-1,10.79,0.17688524590163934,0.05,0,19,61,Bulk Bricks,1,0.0,Black,0.0,9,2,277,60.0,Retired
10049-1,8.09,0.2609677419354839,0.043,0,19,31,Bulk Bricks,1,0.0,Black,0.0,7,3,270,40.0,Retired
10050-1,8.09,0.23794117647058824,0.049,0,19,34,Bulk Bricks,1,0.0,Light Gray,0.0,4,1,119,78.0,Retired
10051-1,9.44,0.1888,0.038,0,19,50,Bulk Bricks,1,0.0,Trans-Clear,1.0,1,1,1069,83.0,Retired
10053-1,8.09,0.18386363636363637,0.046,0,18,44,Bulk Bricks,1,0.0,Black,0.0,3,1,506,85.0,Retired
10054-1,8.09,0.11897058823529412,0.09,1,18,68,Bulk Bricks,1,0.0,Black,0.0,2,1,506,88.0,Retired
10055-1,8.09,0.1618,0.052,0,18,50,Bulk Bricks,1,0.0,Black,0.0,2,1,506,79.0,Retired
10057-1,6.74,0.12035714285714286,0.057,0,19,56,Bulk Bricks,1,0.0,Black,0.0,6,1,86,70.0,Retired
10058-1,6.74,0.12035714285714286,0.039,0,19,56,Bulk Bricks,1,0.0,Red,0.0,6,1,86,70.0,Retired
10059-1,6.74,0.12035714285714286,0.078,0,19,56,Bulk Bricks,1,0.0,Green,0.0,6,1,86,82.0,Retired
10060-1,6.74,0.12035714285714286,0.054,0,19,56,Bulk Bricks,1,0.0,Light Gray,0.0,6,1,86,82.0,Retired
10061-1,6.74,0.08023809523809525,0.06,0,19,84,Bulk Bricks,1,0.0,Black,0.0,8,1,86,82.0,Retired
10062-1,6.74,0.08023809523809525,0.019,0,19,84,Bulk Bricks,1,0.0,Red,0.0,8,1,86,80.0,Retired
10063-1,6.74,0.08023809523809525,0.02,0,19,84,Bulk Bricks,1,0.0,Green,0.0,8,1,86,84.0,Retired
10064-1,6.74,0.08023809523809525,0.048,0,19,84,Bulk Bricks,1,0.0,Light Gray,0.0,8,1,86,82.0,Retired
10065-1,6.74,0.08023809523809525,0.069,0,19,84,Bulk Bricks,1,0.0,White,0.0,8,1,86,75.0,Retired
10066-1,6.74,0.16439024390243903,0.079,0,19,41,Castle,0,1.0,Black,0.0,31,4,1553,75.0,Retired
10067-1,6.74,0.12716981132075472,0.045,0,19,53,Bulk Bricks,1,0.0,Black,0.044444444444444446,23,2,1511,86.0,Retired
10068-1,3.36,0.08615384615384615,0.09,1,19,39,Christmas,0,0.0,White,0.0,15,7,382,76.0,Retired
10069-1,3.36,0.10181818181818181,0.037,0,19,33,Christmas,0,0.0,Green,0.0,7,4,444,88.0,Retired
10070-1,3.36,0.12923076923076923,0.067,0,19,26,Christmas,0,0.0,White,0.0,14,4,491,59.0,Retired
10071-1,3.36,0.1344,0.042,0,18,25,Easter,0,0.0,Yellow,0.0,14,4,399,62.0,Retired
10072-1,13.49,0.24089285714285716,0.059,0,18,56,Technic,0,0.0,Black,0.0,28,4,46,76.0,Retired
10074-1,13.49,0.19838235294117648,0.035,0,18,68,Technic,0,0.0,Black,0.0,28,3,70,62.0,Retired
10075-1,36.44,1.4576,0.054,0,19,25,Spider-Man,0,0.0,Dark Gray,0.0,14,10,344,68.0,Retired
10076-1,17.54,0.4385,0.054,0,19,40,Technic,0,0.0,Light Gray,0.047619047619047616,20,4,102,76.0,Retired
10078-1,12.14,12.14,0.112,1,18,1,Train,0,0.0,Dark Gray,0.0,1,1,505,55.0,Retired
10079-1,3.36,0.08,0.088,1,18,42,Christmas,0,0.0,White,0.0,17,7,427,67.0,Retired
10080-1,3.36,0.10181818181818181,0.116,1,18,33,Christmas,0,0.0,White,0.11764705882352941,15,4,534,73.0,Retired
10081-1,8.09,0.11557142857142857,0.018,0,17,70,Clikits,1,0.0,Trans-Dark Pink,0.56,20,1,398,50.0,Retired
10090-1,4.71,0.08722222222222221,0.089,1,18,54,Thanksgiving,0,0.0,Brown,0.0,23,7,366,83.0,Retired
10106-1,10.79,0.10084112149532709,0.099,1,15,107,Christmas,0,0.0,White,0.2857142857142857,6,2,106,75.0,Retired
10111-1,8.09,0.8089999999999999,0.081,1,20,10,Bulk Bricks,1,0.0,Green,0.0,1,1,1139,81.0,Retired
10112-1,9.44,0.3776,0.061,0,20,25,Bulk Bricks,1,0.0,Green,0.0,1,1,1139,72.0,Retired
10113-1,6.74,1.348,0.116,1,20,5,Bulk Bricks,1,0.0,Green,0.0,1,1,1139,90.0,Retired
10114-1,10.79,0.1079,0.054,0,20,100,Bulk Bricks,1,0.0,Sand Red,0.0,1,1,506,79.0,Retired
10115-1,6.74,0.08425,0.066,0,20,80,Bulk Bricks,1,0.0,Black,0.0,1,1,223,85.0,Retired
