id,parent_id,name
1,,Technic
2,1.0,Arctic Technic
3,1.0,Competition
4,1.0,Expert Builder
5,1.0,Model
6,5.0,Airport
7,5.0,Construction
8,5.0,Farm
9,5.0,Fire
10,5.0,Harbor
11,5.0,Off-Road
12,5.0,Race
13,5.0,Riding Cycle
14,5.0,Robot
15,5.0,Traffic
16,1.0,RoboRiders
17,1.0,Speed Slammers
18,1.0,Star Wars
19,1.0,Supplemental
20,1.0,Throwbot Slizer
21,1.0,Universal Building Set
22,,Creator
23,22.0,Basic Model
24,23.0,Airport
25,23.0,Castle
26,23.0,Construction
27,23.0,Race
28,23.0,Harbor
29,23.0,Train
30,23.0,Traffic
31,23.0,Creature
32,23.0,Robot
33,23.0,Food & Drink
34,23.0,Building
35,23.0,Cargo
37,22.0,Basic Set
38,22.0,Model
39,38.0,Traffic
40,38.0,Creature
42,38.0,Airport
43,38.0,Building
44,38.0,Recreation
45,38.0,Cargo
46,38.0,Harbor
48,22.0,Supplemental
49,22.0,Mecha
50,,Town
51,50.0,Arctic
52,50.0,City
53,52.0,Airport
54,52.0,Cargo
55,52.0,Coast Guard
56,52.0,Construction
57,52.0,Farm
58,52.0,Fire
59,52.0,Harbor
60,52.0,Hospital
61,52.0,Police
62,52.0,Supplemental
63,52.0,Traffic
64,52.0,Off-Road
65,52.0,Arctic
66,52.0,Trains
67,50.0,Classic Town
68,67.0,Airport
69,67.0,Building
70,67.0,Cargo
71,67.0,Coast Guard
72,67.0,Construction
73,67.0,Farm
74,67.0,Fire
75,67.0,Food & Drink
76,67.0,Station
77,67.0,Harbor
78,67.0,Hospital
79,67.0,Off-Road
80,67.0,Police
82,67.0,Race
83,67.0,Recreation
84,67.0,Supplemental
85,67.0,Traffic
86,50.0,Divers
87,50.0,Extreme Team
88,50.0,Launch Command
89,50.0,Outback
90,50.0,Paradisa
91,50.0,Race
92,50.0,Res-Q
93,50.0,Space Port
94,50.0,Town Jr.
95,94.0,Cargo
96,94.0,Coast Guard
97,94.0,Construction
