,Dates,RRP,set_num,from,to
0,24 Oct 07 - 21 Dec 07,$5.99,10054-1,24 Oct 07,21 Dec 07
1,31 May 11 - 21 Jul 11,CA$139.99,10155-1,31 May 11,21 Jul 11
2,24 Oct 07 - 22 Sep 08,$3.99,10168-1,24 Oct 07,22 Sep 08
3,01 Jul 08 - 27 Nov 09,£78.29,10187-1,01 Jul 08,27 Nov 09
4,28 Sep 11 - 21 Nov 20,CA$129.99,10220-1,28 Sep 11,21 Nov 20
5,01 Jan 18 - 29 Jan 19,CA$24.99,10403-1,01 Jan 18,29 Jan 19
6,27 Dec 12 - 22 Dec 13,CA$5.99,10501-1,27 Dec 12,22 Dec 13
7,27 Dec 12 - 10 Jan 15,CA$29.99,10515-1,27 Dec 12,10 Jan 15
8,02 Aug 14 - 29 Dec 15,CA$24.99,10539-1,02 Aug 14,29 Dec 15
9,02 Aug 14 - 12 Dec 15,CA$19.99,10543-1,02 Aug 14,12 Dec 15
10,02 Dec 14 - 20 Mar 15,CA$34.99,10575-1,02 Dec 14,20 Mar 15
11,24 Oct 14 - 21 Jan 15,CA$8.99,10576-1,24 Oct 14,21 Jan 15
12,26 May 14 - 25 Nov 17,CA$59.99,10580-1,26 May 14,25 Nov 17
13,01 Jan 15 - 27 Nov 16,CA$24.99,10587-1,01 Jan 15,27 Nov 16
14,01 Jan 15 - 28 Dec 16,CA$29.99,10600-1,01 Jan 15,28 Dec 16
15,18 May 15 - 09 Dec 15,CA$29.99,10602-1,18 May 15,09 Dec 15
16,02 Aug 15 - 27 Dec 15,CA$19.99,10604-1,02 Aug 15,27 Dec 15
17,18 Feb 14 - 04 Oct 14,CA$12.99,10666-1,18 Feb 14,04 Oct 14
18,01 Jun 15 - 28 Dec 16,€41.99,10697-1,01 Jun 15,28 Dec 16
19,01 Jan 15 - 05 Dec 20,CA$59.99,10698-1,01 Jan 15,05 Dec 20
20,28 Dec 16 - 21 Dec 18,€34.99,10704-1,28 Dec 16,21 Dec 18
21,01 Jun 16 - 25 Nov 17,CA$79.99,10705-1,01 Jun 16,25 Nov 17
22,02 Jan 16 - 18 Nov 17,CA$39.99,10803-1,02 Jan 16,18 Nov 17
23,02 Jan 16 - 07 Dec 17,CA$24.99,10830-1,02 Jan 16,07 Dec 17
24,02 Jan 17 - 26 Nov 18,CA$19.99,10833-1,02 Jan 17,26 Nov 18
25,01 Aug 17 - 09 Apr 19,CA$24.99,10839-1,01 Aug 17,09 Apr 19
26,01 Aug 17 - 18 Dec 18,CA$44.99,10841-1,01 Aug 17,18 Dec 18
27,01 Jan 18 - 06 Feb 19,CA$24.99,10861-1,01 Jan 18,06 Feb 19
28,02 Aug 19 - 27 Nov 20,CA$69.99,10906-1,02 Aug 19,27 Nov 20
29,04 Jan 20 - 22 Nov 20,CA$9.99,10917-1,04 Jan 20,22 Nov 20
30,24 Aug 20 - 21 Nov 20,CA$24.99,10931-1,24 Aug 20,21 Nov 20
31,29 Jun 13 - 24 Jan 15,$79.99,20214-1,29 Jun 13,24 Jan 15
32,31 May 11 - 06 Dec 11,CA$10.99,2067-1,31 May 11,06 Dec 11
33,02 Jan 16 - 25 Nov 17,CA$39.99,21026-1,02 Jan 16,25 Nov 17
34,02 Jan 16 - 19 Nov 17,CA$39.99,21027-1,02 Jan 16,19 Nov 17
35,17 Sep 16 - 24 Nov 18,CA$69.99,21029-1,17 Sep 16,24 Nov 18
36,17 Sep 16 - 29 Nov 19,CA$129.99,21030-1,17 Sep 16,29 Nov 19
37,02 Jan 16 - 18 Dec 17,CA$49.99,21031-1,02 Jan 16,18 Dec 17
38,02 Jun 14 - 26 Jan 15,CA$44.99,21107-1,02 Jun 14,26 Jan 15
39,18 Nov 14 - 15 Dec 16,CA$39.99,21114-1,18 Nov 14,15 Dec 16
40,02 Aug 15 - 20 Nov 17,CA$44.99,21120-1,02 Aug 15,20 Nov 17
41,17 Feb 17 - 04 Feb 19,CA$39.99,21130-1,17 Feb 17,04 Feb 19
42,17 Feb 17 - 22 Nov 17,CA$74.99,21133-1,17 Feb 17,22 Nov 17
43,01 Jan 18 - 10 Jan 20,CA$34.99,21142-1,01 Jan 18,10 Jan 20
44,01 Aug 18 - 14 Dec 18,CA$49.99,21146-1,01 Aug 18,14 Dec 18
45,02 Jun 20 - 01 Dec 20,CA$49.99,21163-1,02 Jun 20,01 Dec 20
46,15 Aug 14 - 07 Oct 14,$34.99,21206-1,15 Aug 14,07 Oct 14
47,24 Oct 07 - 01 Jan 10,£7.35,2598-1,24 Oct 07,01 Jan 10
48,09 Oct 11 - 15 Feb 13,CA$7.99,2734-1,09 Oct 11,15 Feb 13
